Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:44,SM-G950F,00:f6:63:15:58:8e,KaymeraDev,27.11526685,32.16882317,34.81054405,1,2.427E-09,3.72097E-10,2.2374E-09,,00:f6:63:15:58:8e,KaymeraDev,36,-92,32.16882317,34.81054405,27.11526685,01/12/2017 10:44
01/12/2017 10:58,Lenovo PB2-690Y,04:a1:51:e0:5f:ee,MNP_HOME_2.4GHz_1,34.70142599,32.17105773,34.81351364,1,1.0268E-09,1.2618E-09,7.64402E-10,,04:a1:51:e0:5f:ee,MNP_HOME_2.4GHz_1,6,-81,32.17105773,34.81351364,34.70142599,01/12/2017 10:58
01/12/2017 10:45,Lenovo PB2-690Y,06:ae:db:48:af:4d,BezeqFree,38.06555615,32.1704447,34.81252478,1,0,0,0,,06:ae:db:48:af:4d,BezeqFree,9,-90,32.1704447,34.81252478,38.06555615,01/12/2017 10:59
01/12/2017 11:04,SM-G950F,06:ae:db:58:73:75,BezeqFree,48.24472126,32.17225213,34.81419863,1,2.3457E-09,2.4794E-09,6.888E-10,,06:ae:db:58:73:75,BezeqFree,1,-57,32.17225213,34.81419863,48.24472126,01/12/2017 11:04
01/12/2017 10:43,Lenovo PB2-690Y,06:ae:db:ba:1e:85,BezeqFree,43.8091108,32.17242259,34.81307344,1,0,0,0,,06:ae:db:ba:1e:85,BezeqFree,11,-76,32.17242259,34.81307344,43.8091108,01/12/2017 10:50
01/12/2017 10:43,Lenovo PB2-690Y,06:ae:db:c1:ad:7d,BezeqFree,48,32.17246651,34.81278713,1,0,0,0,,06:ae:db:c1:ad:7d,BezeqFree,1,-87,32.17246651,34.81278713,48,01/12/2017 10:43
01/12/2017 10:44,SM-G950F,06:c2:3e:e4:21:85,HTC,27.61250469,32.16880479,34.8105673,1,8.07205E-10,1.23698E-10,7.44102E-10,,06:c2:3e:e4:21:85,HTC,4,-86,32.16880479,34.8105673,27.61250469,01/12/2017 11:05
01/12/2017 10:43,Lenovo PB2-690Y,08:3e:5d:5c:72:5e,Lahav,39.03603945,32.17236627,34.81360488,1,3.28498E-10,8.52403E-10,9.61997E-10,,08:3e:5d:5c:72:5e,Lahav,11,-83,32.17236627,34.81360488,39.03603945,01/12/2017 11:01
01/12/2017 11:05,Lenovo PB2-690Y,08:97:58:31:e0:c6,SEW132_23574336,34.6787126,32.17142739,34.81168267,1,8.32574E-07,5.41706E-06,0.916021655,,08:97:58:31:e0:c6,SEW132_23574336,3,-78,32.17142823,34.81168808,35.59473426,01/12/2017 11:05
01/12/2017 10:49,SM-G950F,08:97:58:32:69:c6,Volvo247,15.37643594,32.17220926,34.8144483,1,4.393E-10,1.6812E-09,1.972E-09,,08:97:58:32:69:c6,Volvo247,4,-81,32.17220926,34.8144483,15.37643594,01/12/2017 10:49
01/12/2017 10:50,SM-G950F,08:97:58:32:d2:98,NIPPON_3687,31.6513231,32.17252252,34.81247912,1,2.9937E-06,3.09211E-05,3.722219922,,08:97:58:32:d2:98,NIPPON_3687,2,-79,32.17251953,34.8124482,35.37354302,01/12/2017 10:50
01/12/2017 10:45,Lenovo PB2-690Y,08:ea:44:74:4b:d5,Nehalem_ISR,40,32.16958729,34.81218021,1,0,0,0,,08:ea:44:74:4b:d5,Nehalem_ISR,1,-92,32.16958729,34.81218021,40,01/12/2017 10:45
01/12/2017 11:05,SM-G950F,0c:f4:d5:29:a2:9c,LRWN,34.73211325,32.16877059,34.81128396,1,0.000102122,0.000542832,0.678284707,,0c:f4:d5:29:a2:9c,LRWN,36,-68,32.16887271,34.81182679,34.05382854,01/12/2017 10:57
01/12/2017 10:43,Lenovo PB2-690Y,10:0d:7f:80:17:80,ELDAD,38.25158527,32.17247442,34.81274882,1,4.73306E-06,6.28329E-05,0.933929126,,10:0d:7f:80:17:80,ELDAD,11,-73,32.17246968,34.81281165,37.31765615,01/12/2017 10:43
01/12/2017 10:57,Lenovo PB2-690Y,10:0d:7f:83:6c:fe,NETGEAR_DGN2200,35,32.1696487,34.81343376,1,0,0,0,,10:0d:7f:83:6c:fe,NETGEAR_DGN2200,11,-93,32.1696487,34.81343376,35,01/12/2017 10:57
